No,Saldo,Frek ATM,Jenis Kelamin,tempat tinggal,Frek Supermarket,Frek Dept Store,Usia,Tertarik
1401,4.110,5,Laki-Laki,urban,4,1,42,0
1402,6.372,7,Perempuan,rural,9,2,39,0
1403,1.003,0,Perempuan,urban,3,2,43,0
1404,6.403,6,Perempuan,rural,4,0,36,0
1405,1.484,5,Laki-Laki,urban,2,2,37,0
1406,10.313,9,Perempuan,rural,2,0,34,0
1407,19.564,8,Laki-Laki,urban,3,4,36,1
1408,18.819,5,Laki-Laki,urban,3,3,36,1
1409,2.051,3,Laki-Laki,urban,2,2,29,1
1410,12.458,12,Perempuan,rural,3,1,36,0
1411,0.560,6,Laki-Laki,rural,0,1,43,0
1412,0.349,4,Laki-Laki,urban,2,4,45,0
1413,2.110,4,Perempuan,urban,3,2,39,0
1414,35.320,15,Laki-Laki,urban,6,4,44,1
1415,0.722,2,Laki-Laki,rural,1,1,29,0
1416,17.576,7,Laki-Laki,rural,3,3,33,1
1417,3.967,5,Laki-Laki,urban,1,1,46,0
1418,9.091,10,Perempuan,urban,13,3,38,1
1419,26.219,12,Laki-Laki,rural,2,2,36,1
1420,24.860,12,Laki-Laki,rural,1,3,37,1
1421,1.789,5,Perempuan,urban,4,4,40,0
1422,1.304,3,Perempuan,urban,5,0,42,0
1423,16.649,7,Perempuan,urban,4,3,38,0
1424,10.838,6,Laki-Laki,urban,2,1,39,0
1425,0.988,0,Laki-Laki,urban,0,2,37,0
1426,3.479,1,Perempuan,rural,0,2,41,0
1427,37.172,13,Laki-Laki,urban,1,6,37,1
1428,8.488,3,Perempuan,urban,3,2,43,0
1429,2.573,2,Perempuan,rural,2,0,32,0
1430,9.090,3,Laki-Laki,rural,1,2,40,0
1431,8.592,4,Laki-Laki,rural,2,2,37,0
1432,0.689,4,Laki-Laki,rural,0,2,40,0
1433,8.474,6,Laki-Laki,rural,2,1,36,0
1434,5.388,3,Perempuan,rural,1,4,44,0
1435,15.543,4,Laki-Laki,urban,0,2,41,0
1436,5.178,0,Laki-Laki,rural,0,1,40,0
1437,5.905,6,Laki-Laki,urban,3,5,40,1
1438,4.055,5,Laki-Laki,rural,1,1,38,0
1439,4.198,1,Perempuan,rural,7,3,41,0
1440,17.345,13,Laki-Laki,urban,3,1,40,0
1441,0.913,1,Perempuan,rural,6,2,40,0
1442,9.654,18,Laki-Laki,rural,2,4,41,0
1443,39.595,18,Laki-Laki,rural,2,6,45,1
1444,7.961,3,Laki-Laki,rural,0,5,38,0
1445,1.212,4,Perempuan,rural,3,3,35,0
1446,8.473,5,Laki-Laki,urban,3,1,36,0
1447,2.329,4,Perempuan,rural,4,0,34,0
1448,4.193,4,Laki-Laki,rural,0,4,43,0
1449,2.758,2,Perempuan,rural,0,3,36,0
1450,0.831,5,Perempuan,rural,3,8,34,1
1451,20.636,8,Perempuan,rural,0,3,44,0
1452,1.543,3,Laki-Laki,rural,1,4,41,0
1453,4.029,1,Perempuan,rural,4,3,38,0
1454,5.977,5,Laki-Laki,urban,3,6,43,0
1455,1.020,1,Laki-Laki,rural,0,2,34,0
1456,1.685,3,Perempuan,rural,4,1,31,0
1457,2.222,2,Laki-Laki,urban,1,1,42,0
1458,1.069,3,Laki-Laki,urban,0,3,45,0
1459,3.227,3,Perempuan,urban,5,2,27,1
1460,5.597,4,Perempuan,urban,0,0,39,0
1461,7.021,5,Laki-Laki,rural,7,2,36,0
1462,2.172,0,Perempuan,urban,6,5,45,0
1463,1.182,3,Laki-Laki,rural,4,3,43,0
1464,13.314,3,Laki-Laki,rural,1,2,36,0
1465,0.454,2,Perempuan,rural,3,0,45,0
1466,3.477,2,Laki-Laki,rural,8,1,38,0
1467,13.368,5,Perempuan,rural,2,1,35,0
1468,1.906,3,Laki-Laki,urban,2,4,38,0
1469,1.794,0,Laki-Laki,rural,1,2,40,0
1470,0.781,4,Perempuan,rural,2,0,35,0
1471,17.237,8,Perempuan,urban,3,2,38,0
1472,0.399,5,Laki-Laki,rural,2,3,41,0
1473,4.316,1,Perempuan,urban,2,2,33,0
1474,14.358,5,Perempuan,rural,4,0,40,0
1475,21.663,7,Laki-Laki,rural,2,4,42,0
1476,1.415,2,Laki-Laki,rural,0,1,43,0
1477,0.887,3,Laki-Laki,urban,0,3,41,0
1478,12.046,11,Perempuan,rural,7,4,29,1
1479,1.031,4,Perempuan,rural,2,1,39,0
1480,2.358,1,Perempuan,rural,4,1,36,0
1481,2.057,7,Perempuan,rural,2,3,46,0
1482,17.592,12,Laki-Laki,urban,6,2,33,1
1483,19.891,9,Perempuan,rural,0,5,41,0
1484,6.547,11,Laki-Laki,rural,8,4,29,1
1485,0.805,1,Laki-Laki,rural,1,7,34,0
1486,0.440,4,Laki-Laki,rural,1,1,42,0
1487,54.836,30,Laki-Laki,rural,3,2,40,1
1488,6.628,5,Perempuan,urban,5,2,29,1
1489,2.063,7,Perempuan,rural,5,2,37,0
1490,4.552,5,Laki-Laki,urban,2,2,36,0
1491,9.602,10,Perempuan,urban,4,1,41,0
1492,3.711,3,Laki-Laki,rural,1,2,43,0
1493,0.097,0,Laki-Laki,urban,1,0,38,0
1494,0.007,3,Perempuan,urban,7,1,39,0
1495,5.849,2,Laki-Laki,rural,0,2,44,0
1496,23.172,13,Laki-Laki,rural,6,3,31,1
1497,2.596,1,Perempuan,urban,0,3,35,0
1498,18.947,7,Perempuan,rural,7,3,33,1
1499,1.059,8,Laki-Laki,urban,3,3,34,0
1500,6.535,5,Laki-Laki,urban,1,1,40,0
1501,1.090,3,Laki-Laki,urban,0,2,30,0
1502,6.785,6,Perempuan,rural,3,1,34,1
1503,2.279,6,Laki-Laki,urban,0,3,43,0
1504,0.953,3,Perempuan,urban,2,2,36,0
1505,5.349,4,Laki-Laki,urban,1,4,44,0
1506,23.475,5,Laki-Laki,urban,1,6,36,1
1507,13.981,5,Laki-Laki,rural,1,1,30,1
1508,1.985,1,Laki-Laki,rural,0,1,31,0
1509,1.377,4,Perempuan,urban,2,6,52,0
1510,9.847,13,Perempuan,urban,6,1,29,1
1511,6.089,6,Perempuan,urban,7,0,44,0
1512,2.872,1,Laki-Laki,urban,0,0,46,0
1513,12.172,5,Perempuan,rural,6,13,40,1
1514,0.893,2,Laki-Laki,rural,5,2,35,0
1515,0.190,4,Laki-Laki,rural,0,6,33,0
1516,2.875,0,Perempuan,urban,2,0,38,0
1517,25.153,6,Perempuan,rural,4,3,35,1
1518,4.223,4,Laki-Laki,urban,1,1,43,0
1519,3.711,1,Perempuan,rural,1,2,39,0
1520,0.459,4,Perempuan,urban,3,2,37,0
1521,8.771,7,Laki-Laki,urban,4,7,39,1
1522,2.745,5,Laki-Laki,urban,0,2,27,1
1523,15.849,6,Laki-Laki,urban,1,3,41,0
1524,10.202,5,Perempuan,rural,5,3,34,0
1525,2.448,0,Laki-Laki,rural,1,2,31,0
1526,15.160,10,Laki-Laki,rural,5,5,37,1
1527,5.367,4,Perempuan,urban,0,0,33,0
1528,2.559,0,Laki-Laki,rural,0,1,36,0
1529,5.547,3,Laki-Laki,rural,6,4,33,1
1530,6.384,5,Laki-Laki,rural,2,3,41,0
1531,9.437,5,Perempuan,rural,5,2,41,0
1532,2.078,8,Laki-Laki,rural,7,4,37,1
1533,1.205,2,Perempuan,rural,2,4,37,0
1534,39.796,19,Perempuan,urban,5,4,32,1
1535,10.819,5,Laki-Laki,urban,2,1,34,0
1536,4.162,3,Laki-Laki,rural,1,2,36,0
1537,7.766,4,Perempuan,rural,0,2,34,0
1538,2.948,2,Laki-Laki,urban,1,1,42,0
1539,0.329,4,Perempuan,rural,3,13,44,1
1540,1.072,3,Laki-Laki,rural,1,2,38,0
1541,20.873,11,Perempuan,rural,12,7,41,1
1542,0.845,4,Laki-Laki,rural,0,1,45,0
1543,0.009,4,Laki-Laki,rural,1,2,45,0
1544,1.184,4,Perempuan,urban,1,0,40,0
1545,2.625,3,Perempuan,urban,1,0,34,0
1546,42.537,9,Laki-Laki,urban,0,8,42,1
1547,6.717,9,Perempuan,urban,8,0,36,0
1548,7.035,3,Laki-Laki,rural,1,1,30,0
1549,6.014,8,Perempuan,rural,4,2,34,0
1550,0.370,2,Perempuan,rural,4,2,33,0
1551,0.868,3,Laki-Laki,rural,1,1,38,0
1552,1.312,4,Laki-Laki,urban,2,2,34,0
1553,2.310,3,Perempuan,rural,1,3,32,0
1554,10.136,6,Perempuan,urban,8,0,34,1
1555,8.712,9,Perempuan,urban,2,0,33,0
1556,12.052,4,Laki-Laki,rural,1,2,40,0
1557,3.346,3,Laki-Laki,rural,1,2,45,0
1558,15.059,12,Perempuan,urban,6,3,39,1
1559,1.618,3,Laki-Laki,urban,2,0,38,0
1560,0.352,4,Perempuan,rural,0,0,38,0
1561,14.243,8,Perempuan,rural,4,0,38,0
1562,5.794,1,Perempuan,rural,5,1,37,0
1563,12.104,3,Laki-Laki,urban,1,2,36,0
1564,0.285,3,Perempuan,rural,5,0,35,0
1565,23.464,4,Laki-Laki,rural,3,3,42,0
1566,1.076,2,Laki-Laki,rural,1,1,35,0
1567,0.255,1,Laki-Laki,rural,4,2,31,1
1568,0.081,0,Perempuan,rural,4,4,43,0
1569,9.096,5,Laki-Laki,urban,4,1,40,0
1570,2.113,0,Laki-Laki,urban,2,1,41,0
1571,0.544,0,Laki-Laki,urban,6,1,39,0
1572,2.338,1,Laki-Laki,rural,0,1,34,0
1573,4.739,4,Laki-Laki,urban,0,2,41,0
1574,0.194,1,Perempuan,urban,1,1,36,0
1575,3.247,4,Perempuan,rural,8,3,51,1
1576,7.886,7,Perempuan,urban,5,4,40,0
1577,1.616,3,Laki-Laki,rural,0,3,33,0
1578,3.130,5,Perempuan,rural,5,2,41,0
1579,1.350,2,Perempuan,rural,4,2,39,0
1580,0.695,2,Perempuan,rural,4,0,38,0
1581,0.276,2,Perempuan,urban,0,0,28,0
1582,2.430,2,Perempuan,rural,2,2,26,1
1583,0.592,6,Perempuan,urban,2,2,42,0
1584,12.956,8,Laki-Laki,rural,2,1,48,0
1585,21.083,5,Laki-Laki,rural,3,5,32,1
1586,1.283,5,Laki-Laki,rural,3,2,34,0
1587,2.486,3,Laki-Laki,rural,1,3,37,0
1588,3.537,5,Perempuan,urban,2,2,35,0
1589,0.630,1,Laki-Laki,rural,6,2,34,0
1590,46.716,16,Perempuan,urban,8,8,33,1
1591,2.129,4,Laki-Laki,urban,1,1,42,0
1592,5.153,8,Perempuan,urban,5,5,34,1
1593,1.565,2,Laki-Laki,rural,2,3,35,0
1594,19.169,5,Laki-Laki,urban,2,4,37,1
1595,1.846,0,Laki-Laki,rural,1,1,40,0
1596,2.621,7,Perempuan,urban,3,0,35,0
1597,8.718,12,Perempuan,urban,7,3,32,1
1598,3.478,5,Laki-Laki,rural,7,3,36,1
1599,0.944,2,Laki-Laki,rural,1,3,43,0
1600,3.360,1,Perempuan,urban,1,1,28,0
1601,0.837,6,Perempuan,rural,2,2,38,0
1602,29.547,12,Perempuan,urban,6,4,41,1
1603,8.286,5,Perempuan,rural,4,2,44,0
1604,5.668,4,Perempuan,urban,4,1,39,0
1605,10.087,6,Laki-Laki,rural,5,2,36,0
1606,1.327,1,Laki-Laki,rural,1,0,35,0
1607,1.433,1,Laki-Laki,urban,2,1,42,0
1608,1.265,7,Perempuan,rural,5,2,42,0
1609,0.183,2,Laki-Laki,urban,0,4,38,0
1610,33.807,7,Perempuan,rural,9,6,48,1
1611,1.208,1,Perempuan,urban,8,2,33,0
1612,0.063,3,Perempuan,rural,5,3,25,1
1613,11.797,5,Perempuan,urban,5,5,34,1
1614,6.155,4,Perempuan,rural,2,3,45,0
1615,5.962,2,Laki-Laki,urban,3,5,42,0
1616,31.408,30,Laki-Laki,rural,5,7,36,1
1617,1.415,1,Perempuan,urban,0,3,31,0
1618,0.376,8,Laki-Laki,rural,2,3,37,0
1619,0.851,3,Laki-Laki,rural,2,1,35,0
1620,0.063,4,Perempuan,urban,3,4,44,0
1621,0.317,3,Perempuan,rural,1,4,48,0
1622,0.372,4,Laki-Laki,urban,1,1,41,0
1623,7.921,1,Perempuan,rural,5,2,47,0
1624,14.635,2,Perempuan,rural,1,5,45,0
1625,2.710,7,Perempuan,rural,3,1,38,0
1626,0.177,2,Laki-Laki,urban,2,2,37,0
1627,0.129,2,Perempuan,urban,3,1,43,0
1628,0.137,3,Laki-Laki,rural,0,4,36,0
1629,12.044,3,Perempuan,urban,3,2,33,0
1630,6.011,5,Perempuan,rural,2,7,36,0
1631,4.990,6,Perempuan,urban,2,1,46,0
1632,0.877,1,Laki-Laki,urban,0,5,25,1
1633,0.160,0,Laki-Laki,rural,1,2,26,1
1634,14.676,9,Laki-Laki,rural,4,16,46,1
1635,0.247,2,Perempuan,urban,4,2,29,1
1636,3.493,11,Perempuan,urban,7,2,37,0
1637,2.241,4,Perempuan,rural,5,0,44,0
1638,15.566,12,Laki-Laki,rural,7,5,34,1
1639,16.280,9,Laki-Laki,rural,3,2,39,0
1640,5.374,4,Perempuan,urban,5,1,42,0
1641,2.474,0,Perempuan,urban,1,5,39,0
1642,4.747,5,Laki-Laki,rural,1,2,50,0
1643,8.297,6,Perempuan,rural,5,1,39,0
1644,5.829,3,Laki-Laki,rural,1,5,33,0
1645,4.472,2,Perempuan,rural,4,3,34,0
1646,2.899,3,Laki-Laki,urban,4,2,45,0
1647,10.400,4,Perempuan,urban,6,2,26,1
1648,0.630,2,Perempuan,urban,2,3,38,0
1649,16.934,9,Laki-Laki,rural,1,2,45,0
1650,0.389,3,Perempuan,urban,4,4,37,0
1651,1.987,3,Laki-Laki,urban,2,3,29,1
1652,0.750,0,Laki-Laki,rural,3,2,31,0
1653,7.531,5,Laki-Laki,urban,1,3,25,1
1654,3.967,3,Laki-Laki,rural,2,1,37,0
1655,3.686,4,Perempuan,rural,2,2,41,0
1656,0.669,4,Perempuan,urban,0,1,34,0
1657,31.739,16,Laki-Laki,rural,1,2,34,1
1658,9.821,4,Perempuan,rural,4,4,42,0
1659,8.233,3,Laki-Laki,rural,4,2,32,0
1660,19.197,15,Laki-Laki,rural,3,5,35,1
1661,3.642,3,Perempuan,rural,3,1,41,0
1662,13.578,17,Laki-Laki,rural,5,0,38,1
1663,4.913,7,Perempuan,rural,0,2,45,0
1664,3.111,1,Laki-Laki,rural,2,2,47,0
1665,12.963,8,Laki-Laki,urban,3,2,41,0
1666,0.024,3,Perempuan,rural,3,1,47,0
1667,0.776,0,Perempuan,rural,3,3,40,0
1668,11.329,3,Perempuan,rural,3,2,36,0
1669,18.596,8,Laki-Laki,urban,6,2,38,1
1670,2.047,2,Perempuan,rural,0,2,47,0
1671,7.559,9,Perempuan,urban,4,3,38,0
1672,3.912,2,Perempuan,urban,12,1,45,0
1673,13.631,9,Perempuan,rural,5,1,42,0
1674,3.230,3,Perempuan,rural,2,1,39,0
1675,3.307,2,Perempuan,urban,4,1,39,0
1676,13.777,10,Perempuan,urban,2,2,32,0
1677,3.628,4,Perempuan,rural,5,3,42,0
1678,10.762,16,Perempuan,rural,3,2,36,1
1679,0.127,3,Laki-Laki,urban,0,1,37,0
1680,5.081,4,Perempuan,rural,3,4,37,0
1681,10.713,6,Laki-Laki,urban,1,4,40,0
1682,21.058,9,Perempuan,rural,13,2,37,1
1683,3.660,2,Perempuan,rural,0,2,42,0
1684,13.394,4,Laki-Laki,urban,2,2,34,0
1685,24.168,17,Perempuan,rural,11,4,41,1
1686,8.218,3,Laki-Laki,rural,3,0,40,0
1687,6.493,4,Perempuan,urban,4,3,45,0
1688,4.745,1,Perempuan,rural,4,2,42,0
1689,0.110,1,Perempuan,urban,2,2,43,0
1690,5.257,7,Perempuan,rural,6,1,50,1
1691,0.225,1,Perempuan,rural,4,2,37,0
1692,0.066,4,Laki-Laki,rural,0,3,40,0
1693,3.729,3,Perempuan,rural,5,2,29,1
1694,0.649,0,Perempuan,rural,1,2,37,0
1695,2.493,2,Laki-Laki,rural,1,3,45,0
1696,8.880,1,Laki-Laki,rural,0,3,37,0
1697,1.107,4,Laki-Laki,rural,2,1,42,0
1698,25.035,11,Laki-Laki,rural,5,4,39,1
1699,0.184,3,Perempuan,urban,5,9,37,0
1700,28.269,13,Perempuan,rural,7,10,49,1
1701,1.939,2,Laki-Laki,rural,7,0,37,0
1702,7.317,4,Laki-Laki,rural,2,4,41,0
1703,5.633,2,Laki-Laki,urban,1,0,38,0
1704,8.039,5,Perempuan,rural,6,1,43,0
1705,2.778,4,Perempuan,urban,4,2,29,1
1706,7.003,8,Laki-Laki,rural,2,0,31,1
1707,9.309,3,Laki-Laki,rural,1,0,33,0
1708,10.537,3,Laki-Laki,rural,1,1,36,0
1709,13.200,6,Laki-Laki,rural,1,1,44,0
1710,11.546,4,Laki-Laki,urban,6,4,34,1
1711,3.317,5,Perempuan,rural,2,5,41,0
1712,7.643,6,Laki-Laki,urban,1,2,37,0
1713,0.061,0,Perempuan,urban,4,1,36,0
1714,0.225,6,Perempuan,urban,5,0,31,0
1715,14.691,7,Laki-Laki,rural,2,0,36,0
1716,5.603,6,Perempuan,rural,3,2,39,0
1717,0.901,1,Perempuan,urban,0,2,39,0
1718,0.061,3,Laki-Laki,urban,0,2,38,0
1719,23.506,7,Perempuan,urban,0,1,35,0
1720,5.460,5,Perempuan,rural,0,0,38,0
1721,0.187,4,Perempuan,rural,4,3,39,0
1722,23.688,2,Laki-Laki,rural,1,8,39,1
1723,8.374,2,Perempuan,rural,3,1,40,0
1724,2.204,3,Laki-Laki,rural,2,3,44,0
1725,3.548,5,Laki-Laki,rural,3,3,38,0
1726,0.391,4,Perempuan,rural,3,4,41,0
1727,0.321,1,Perempuan,urban,5,1,41,0
1728,2.484,3,Laki-Laki,urban,2,2,35,0
1729,4.036,5,Perempuan,rural,2,3,33,0
1730,5.256,4,Laki-Laki,urban,1,3,28,1
1731,0.993,0,Laki-Laki,urban,0,2,42,0
1732,0.751,3,Perempuan,rural,7,1,31,0
1733,1.392,3,Perempuan,rural,1,3,45,0
1734,1.855,0,Laki-Laki,urban,1,5,34,0
1735,7.235,8,Laki-Laki,rural,2,2,38,0
1736,1.340,4,Perempuan,urban,4,2,29,1
1737,3.983,5,Perempuan,rural,3,1,24,1
1738,8.926,6,Laki-Laki,urban,0,2,38,0
1739,2.639,0,Perempuan,rural,2,0,35,0
1740,0.358,2,Laki-Laki,urban,1,5,31,0
1741,5.666,4,Perempuan,urban,5,1,39,0
1742,1.523,4,Laki-Laki,urban,3,0,38,0
1743,3.608,4,Laki-Laki,urban,1,1,36,0
1744,2.955,6,Perempuan,rural,5,2,37,0
1745,2.298,2,Laki-Laki,urban,0,1,37,0
1746,6.745,2,Perempuan,urban,5,1,45,0
1747,1.287,5,Laki-Laki,rural,2,3,34,0
1748,4.539,6,Laki-Laki,rural,1,1,47,0
1749,3.192,1,Perempuan,urban,0,1,43,0
1750,4.850,11,Laki-Laki,rural,2,0,33,1
1751,2.548,1,Laki-Laki,urban,0,3,41,0
1752,59.705,21,Perempuan,rural,4,5,40,1
1753,1.209,3,Perempuan,urban,3,0,36,0
1754,2.273,9,Laki-Laki,rural,3,2,34,0
1755,0.838,4,Perempuan,urban,2,1,47,0
1756,0.470,1,Laki-Laki,rural,4,1,37,0
1757,12.893,6,Laki-Laki,rural,1,2,43,0
1758,1.863,0,Perempuan,rural,7,1,38,0
1759,0.362,1,Laki-Laki,urban,0,3,35,0
1760,1.444,6,Laki-Laki,rural,2,0,35,0
1761,0.013,3,Laki-Laki,urban,1,0,36,0
1762,21.255,9,Laki-Laki,urban,2,2,39,0
1763,0.289,0,Perempuan,urban,4,1,30,0
1764,2.334,4,Perempuan,rural,7,1,32,1
1765,2.027,2,Laki-Laki,rural,3,2,42,0
1766,5.844,8,Laki-Laki,rural,3,2,38,0
1767,4.294,2,Perempuan,urban,2,0,51,0
1768,0.935,2,Perempuan,urban,2,1,51,0
1769,9.240,4,Laki-Laki,urban,2,0,42,0
1770,8.324,2,Laki-Laki,urban,0,2,37,0
1771,11.676,5,Perempuan,rural,2,2,39,0
1772,12.648,3,Laki-Laki,urban,3,5,45,1
1773,13.536,11,Perempuan,urban,2,1,33,1
1774,3.655,8,Laki-Laki,rural,4,0,32,1
1775,22.878,11,Laki-Laki,rural,3,11,40,1
1776,1.611,5,Laki-Laki,rural,4,1,38,0
1777,0.826,1,Laki-Laki,rural,1,2,33,0
1778,1.161,3,Laki-Laki,rural,3,1,31,0
1779,3.473,2,Laki-Laki,urban,4,3,37,0
1780,2.572,4,Perempuan,rural,0,3,37,0
1781,0.420,2,Perempuan,rural,3,9,43,0
1782,0.976,0,Perempuan,urban,3,4,31,0
1783,5.870,0,Laki-Laki,rural,0,2,34,0
1784,2.366,2,Perempuan,rural,1,1,43,0
1785,1.131,3,Laki-Laki,rural,1,3,30,1
1786,1.368,1,Perempuan,urban,5,2,33,0
1787,3.097,0,Perempuan,rural,1,3,38,0
1788,13.185,13,Perempuan,rural,5,4,37,1
1789,65.677,20,Laki-Laki,rural,6,7,33,1
1790,0.524,2,Laki-Laki,urban,1,4,49,0
1791,5.104,3,Laki-Laki,rural,1,2,46,0
1792,4.145,5,Laki-Laki,rural,3,0,39,0
1793,8.435,6,Perempuan,urban,5,0,49,0
1794,1.661,3,Laki-Laki,rural,1,5,42,0
1795,0.479,1,Perempuan,rural,1,2,33,0
1796,0.697,5,Laki-Laki,rural,0,3,37,0
1797,3.242,2,Laki-Laki,urban,0,0,41,0
1798,7.253,2,Perempuan,urban,3,1,41,0
1799,3.681,3,Perempuan,rural,6,1,29,1
1800,21.941,18,Laki-Laki,rural,7,2,41,1
1801,0.105,4,Laki-Laki,urban,1,3,37,0
1802,1.571,0,Laki-Laki,rural,3,2,42,0
1803,6.419,3,Laki-Laki,rural,2,2,46,0
1804,16.236,11,Laki-Laki,rural,2,2,37,1
1805,5.298,4,Laki-Laki,rural,1,2,32,0
1806,12.501,9,Perempuan,rural,2,3,42,0
1807,1.948,4,Perempuan,rural,0,0,30,1
1808,9.077,5,Laki-Laki,urban,7,1,36,0
1809,0.588,3,Perempuan,rural,1,5,39,0
1810,2.282,4,Perempuan,rural,2,1,44,0
1811,5.628,3,Perempuan,rural,0,1,32,0
1812,2.555,8,Perempuan,urban,4,1,35,0
1813,8.338,4,Perempuan,rural,3,2,45,0
1814,0.653,4,Perempuan,rural,2,0,41,0
1815,4.623,4,Laki-Laki,rural,2,3,35,0
1816,14.545,8,Laki-Laki,rural,6,2,47,1
1817,0.041,1,Perempuan,rural,4,3,36,0
1818,10.732,11,Perempuan,rural,7,2,53,1
1819,8.215,7,Laki-Laki,rural,1,0,31,1
1820,0.170,2,Laki-Laki,rural,2,1,37,0
1821,1.514,4,Perempuan,urban,0,0,33,0
1822,5.454,4,Laki-Laki,urban,0,0,35,0
1823,1.930,4,Laki-Laki,rural,3,9,38,1
1824,8.162,4,Perempuan,rural,5,1,39,0
1825,7.714,11,Laki-Laki,rural,0,7,43,1
1826,14.031,5,Laki-Laki,urban,3,2,35,1
1827,2.743,1,Laki-Laki,urban,2,4,38,0
1828,2.512,4,Perempuan,urban,0,3,39,0
1829,13.688,11,Perempuan,urban,5,6,44,1
1830,1.587,0,Perempuan,urban,2,1,30,0
1831,1.705,3,Perempuan,urban,2,1,47,0
1832,0.422,0,Perempuan,urban,3,2,38,0
1833,0.291,4,Perempuan,rural,1,2,46,0
1834,3.040,2,Laki-Laki,rural,5,1,36,0
1835,4.394,4,Laki-Laki,urban,1,4,40,0
1836,24.257,9,Laki-Laki,urban,0,1,37,0
1837,10.978,21,Perempuan,urban,7,4,42,1
1838,1.443,2,Laki-Laki,rural,3,3,40,0
1839,15.737,9,Perempuan,urban,5,1,30,1
1840,0.359,0,Laki-Laki,urban,2,2,41,0
1841,9.083,6,Perempuan,rural,3,1,34,0
1842,2.407,3,Laki-Laki,rural,2,1,32,0
1843,8.849,2,Perempuan,rural,4,0,37,0
1844,2.036,2,Perempuan,rural,3,2,35,0
1845,5.058,6,Perempuan,urban,2,1,49,0
1846,13.888,5,Laki-Laki,urban,3,2,41,0
1847,2.813,2,Perempuan,rural,2,2,36,0
1848,6.893,3,Laki-Laki,urban,3,0,36,0
1849,0.348,2,Laki-Laki,rural,6,1,31,0
1850,1.629,4,Laki-Laki,rural,4,1,40,0
1851,4.313,7,Laki-Laki,rural,0,1,45,0
1852,9.268,4,Perempuan,urban,0,5,28,1
1853,13.255,3,Perempuan,rural,3,2,43,0
1854,1.257,3,Laki-Laki,rural,2,1,36,0
1855,2.959,2,Perempuan,rural,5,1,38,0
1856,1.022,2,Perempuan,rural,3,1,36,0
1857,15.764,6,Laki-Laki,rural,3,1,41,0
1858,5.484,4,Perempuan,rural,4,2,32,0
1859,10.012,1,Perempuan,urban,7,1,37,0
1860,6.547,1,Laki-Laki,urban,0,3,33,0
1861,0.778,1,Perempuan,rural,1,7,38,0
1862,0.028,2,Perempuan,urban,3,0,31,0
1863,4.663,6,Perempuan,rural,5,3,39,0
1864,10.231,4,Laki-Laki,rural,5,1,38,0
1865,2.869,3,Perempuan,urban,6,2,29,1
1866,9.213,6,Perempuan,urban,3,1,40,0
1867,5.421,4,Laki-Laki,rural,1,2,28,1
1868,2.153,2,Perempuan,rural,1,3,42,0
1869,3.967,2,Perempuan,urban,4,3,42,0
1870,5.310,3,Laki-Laki,urban,2,2,32,0
1871,7.685,5,Perempuan,urban,4,1,35,0
1872,15.556,5,Perempuan,rural,4,3,47,0
1873,0.021,1,Perempuan,urban,1,0,39,0
1874,1.273,6,Perempuan,rural,9,3,36,0
1875,7.406,10,Perempuan,urban,4,3,45,0
1876,9.259,7,Laki-Laki,rural,4,1,33,1
1877,9.065,2,Laki-Laki,rural,0,0,39,0
1878,3.815,2,Laki-Laki,rural,1,2,37,0
1879,8.422,5,Laki-Laki,rural,4,1,49,0
1880,0.498,4,Laki-Laki,urban,0,1,43,0
1881,2.141,3,Laki-Laki,rural,0,4,33,0
1882,3.331,3,Laki-Laki,rural,3,1,40,0
1883,3.876,5,Perempuan,rural,3,3,38,0
1884,1.269,6,Perempuan,rural,1,0,34,0
1885,18.226,6,Laki-Laki,rural,1,1,36,0
1886,0.345,3,Perempuan,urban,4,3,30,1
1887,12.072,7,Laki-Laki,rural,2,3,40,0
1888,4.677,5,Perempuan,rural,5,1,32,1
1889,6.629,2,Laki-Laki,urban,3,2,33,0
1890,2.603,0,Perempuan,rural,3,0,39,0
1891,6.211,6,Laki-Laki,rural,2,1,39,0
1892,0.532,4,Perempuan,rural,1,0,41,0
1893,9.353,2,Perempuan,rural,2,1,36,0
1894,1.630,4,Perempuan,urban,1,4,43,0
1895,1.266,4,Laki-Laki,urban,1,3,37,0
1896,3.375,3,Perempuan,rural,1,3,37,0
1897,1.167,3,Perempuan,urban,7,1,46,0
1898,0.246,4,Laki-Laki,rural,0,2,36,0
1899,1.399,1,Laki-Laki,rural,2,1,42,0
1900,17.272,14,Perempuan,rural,2,1,36,1
1901,15.934,10,Laki-Laki,rural,3,2,34,1
1902,13.831,12,Laki-Laki,urban,2,3,37,0
1903,0.760,7,Perempuan,urban,5,1,35,0
1904,10.668,7,Laki-Laki,rural,1,1,31,1
1905,41.200,28,Perempuan,urban,10,9,33,1
1906,11.522,6,Perempuan,rural,2,1,38,0
1907,3.194,6,Laki-Laki,rural,5,3,31,1
1908,2.354,2,Perempuan,rural,1,3,39,0
1909,7.738,11,Perempuan,urban,4,2,35,0
1910,3.900,3,Perempuan,urban,3,5,35,0
1911,5.215,3,Laki-Laki,rural,2,3,43,0
1912,3.797,5,Laki-Laki,urban,4,1,38,0
1913,1.698,1,Laki-Laki,rural,1,5,39,0
1914,1.490,4,Perempuan,rural,5,1,36,0
1915,10.097,3,Perempuan,urban,3,1,30,1
1916,1.052,0,Perempuan,rural,0,0,38,0
