Creditability,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Property,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker
1,account >= 200,12,existing credits,radio/TV,1297,500 <= savings < 1000,1 <= employed < 4 years,3,male-married,none,4,real estate,23,none,rent,1,skilled employee,1,none,yes
1,no cheking account,24,existing credits,radio/TV,1552,savings >= 1000,4 <= employed < 7 years,3,male-single,none,1,car or other,32,bank,own,1,skilled employee,2,none,yes
1,no cheking account,12,existing credits,radio/TV,1963,savings >= 1000,4 <= employed < 7 years,4,male-single,none,2,car or other,31,none,rent,2,high qualified employee,2,yes,yes
1,no cheking account,24,existing credits,radio/TV,3235,no savings,employed >= 7 years,3,male-divorced,none,2,car or other,36,none,own,1,high qualified employee,1,yes,yes
1,no cheking account,24,critical account,business,4139,500 <= savings < 1000,1 <= employed < 4 years,3,male-single,none,3,building society,27,none,own,2,unskilled-resident,1,yes,yes
1,0 <= account < 200,12,critical account,car-used,1804,100 <= savings < 500,employed < 1 year,3,male-single,none,4,building society,44,none,own,1,skilled employee,1,none,yes
1,no cheking account,18,existing credits,business,1950,savings >= 1000,4 <= employed < 7 years,4,male-single,none,1,car or other,34,stores,own,2,skilled employee,1,yes,yes
1,no cheking account,48,delay paying in past,radio/TV,12749,savings >= 1000,4 <= employed < 7 years,4,male-single,none,1,car or other,37,none,own,1,high qualified employee,1,yes,yes
1,no cheking account,9,existing credits,domestic appliances,1236,100 <= savings < 500,employed < 1 year,1,female-divorced/married,none,4,real estate,23,none,rent,1,skilled employee,1,yes,yes
1,no cheking account,18,critical account,car-new,1055,100 <= savings < 500,employed < 1 year,4,female-divorced/married,none,1,building society,30,none,own,2,skilled employee,1,none,yes
1,account < 0 ,30,no credits taken,business,8072,100 <= savings < 500,employed < 1 year,2,male-single,none,3,car or other,25,bank,own,3,skilled employee,1,none,yes
1,no cheking account,30,critical account,radio/TV,2831,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,2,car or other,33,none,own,1,skilled employee,1,yes,yes
1,no cheking account,9,existing credits,business,1449,savings >= 1000,4 <= employed < 7 years,3,female-divorced/married,none,2,car or other,27,none,own,2,skilled employee,1,none,yes
1,no cheking account,36,existing credits,business,5742,savings >= 1000,4 <= employed < 7 years,2,male-single,none,2,car or other,31,none,own,2,skilled employee,1,yes,yes
1,no cheking account,12,existing credits,car-new,2390,no savings,employed >= 7 years,4,male-single,none,3,car or other,50,none,own,1,skilled employee,1,yes,yes
1,no cheking account,24,existing credits,radio/TV,3430,no savings,employed >= 7 years,3,male-single,none,2,car or other,31,none,own,1,skilled employee,2,yes,yes
1,0 <= account < 200,36,existing credits,education,2273,savings >= 1000,4 <= employed < 7 years,3,male-single,none,1,car or other,32,none,own,2,skilled employee,2,none,yes
1,account >= 200,21,existing credits,car-new,2923,500 <= savings < 1000,1 <= employed < 4 years,1,female-divorced/married,none,1,car or other,28,bank,own,1,high qualified employee,1,yes,yes
1,no cheking account,24,existing credits,radio/TV,1901,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,4,car or other,29,none,rent,1,high qualified employee,1,yes,yes
1,0 <= account < 200,36,existing credits,education,3711,500 <= savings < 1000,1 <= employed < 4 years,2,male-married,none,2,car or other,27,none,own,1,skilled employee,1,none,yes
1,0 <= account < 200,48,existing credits,car-new,8487,savings >= 1000,4 <= employed < 7 years,1,female-divorced/married,none,2,car or other,24,none,own,1,skilled employee,1,none,yes
1,no cheking account,24,existing credits,car-new,2255,100 <= savings < 500,employed < 1 year,4,male-single,none,1,building society,54,none,own,1,skilled employee,1,none,yes
1,no cheking account,12,existing credits,radio/TV,1262,500 <= savings < 1000,1 <= employed < 4 years,3,male-single,none,2,car or other,25,none,own,1,skilled employee,1,none,yes
1,no cheking account,33,critical account,car-used,7253,savings >= 1000,4 <= employed < 7 years,3,male-single,none,2,car or other,35,none,own,2,high qualified employee,1,yes,yes
1,no cheking account,6,critical account,car-new,6761,savings >= 1000,4 <= employed < 7 years,1,male-single,none,3,no property,45,none,own,2,high qualified employee,2,yes,yes
1,no cheking account,18,critical account,funiture,1817,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,2,no property,28,none,own,2,skilled employee,1,none,yes
1,no cheking account,12,existing credits,radio/TV,2141,savings >= 1000,4 <= employed < 7 years,3,male-single,none,1,no property,35,none,own,1,skilled employee,1,none,yes
1,no cheking account,48,all credits paid back,business,3609,500 <= savings < 1000,1 <= employed < 4 years,1,female-divorced/married,none,1,real estate,27,stores,own,1,skilled employee,1,none,yes
1,no cheking account,30,existing credits,radio/TV,2333,no savings,employed >= 7 years,4,male-single,none,2,car or other,30,bank,own,1,high qualified employee,1,none,yes
1,no cheking account,28,all credits paid back,car-used,7824,100 <= savings < 500,employed < 1 year,3,male-single,guarantor,4,real estate,40,bank,rent,2,skilled employee,2,yes,yes
1,account >= 200,18,all credits paid back,radio/TV,1445,savings >= 1000,4 <= employed < 7 years,4,male-single,none,4,car or other,49,bank,own,1,unskilled-resident,1,none,yes
1,account < 0 ,24,existing credits,funiture,7721,100 <= savings < 500,employed < 1 year,1,female-divorced/married,none,2,building society,30,none,own,1,skilled employee,1,yes,no
1,account < 0 ,21,existing credits,car-new,3763,savings >= 1000,4 <= employed < 7 years,2,male-single,co-applicant,2,real estate,24,none,own,1,unskilled-resident,1,none,no
1,0 <= account < 200,18,existing credits,business,4439,no savings,employed >= 7 years,1,male-single,co-applicant,1,real estate,33,bank,own,1,high qualified employee,1,yes,yes
1,account < 0 ,12,existing credits,radio/TV,1107,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,2,real estate,20,none,rent,1,high qualified employee,2,yes,yes
1,0 <= account < 200,15,existing credits,radio/TV,1444,100 <= savings < 500,employed < 1 year,4,male-single,none,1,building society,23,none,own,1,skilled employee,1,none,yes
1,0 <= account < 200,48,all credits paid back,car-new,12169,savings < 100,unemployed,4,male-single,co-applicant,4,no property,36,none,for free,1,high qualified employee,1,yes,yes
1,no cheking account,9,existing credits,radio/TV,2753,no savings,employed >= 7 years,3,male-single,co-applicant,4,car or other,35,none,own,1,skilled employee,1,yes,yes
1,account >= 200,4,existing credits,car-new,1494,100 <= savings < 500,employed < 1 year,1,male-single,none,2,real estate,29,none,own,1,unskilled-resident,2,none,no
1,account < 0 ,24,all credits paid back,funiture,2828,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,4,real estate,22,stores,own,1,skilled employee,1,yes,yes
1,account < 0 ,24,all credits paid back,funiture,2483,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,4,real estate,22,stores,own,1,skilled employee,1,yes,yes
1,account >= 200,6,critical account,car-new,1299,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,none,1,real estate,74,none,own,3,unemployed,2,none,no
1,0 <= account < 200,9,existing credits,car-new,1549,100 <= savings < 500,employed < 1 year,4,male-single,none,2,real estate,35,none,own,1,unemployed,1,none,yes
1,account >= 200,10,existing credits,car-new,3949,100 <= savings < 500,employed < 1 year,1,male-single,guarantor,1,building society,37,none,own,1,unskilled-resident,2,none,yes
1,no cheking account,10,existing credits,car-used,2901,100 <= savings < 500,employed < 1 year,1,female-divorced/married,none,4,real estate,31,none,rent,1,skilled employee,1,none,yes
1,account >= 200,6,existing credits,car-new,709,100 <= savings < 500,employed < 1 year,2,male-married,none,2,real estate,27,none,own,1,unemployed,1,none,no
1,account < 0 ,47,existing credits,car-new,10722,100 <= savings < 500,employed < 1 year,1,female-divorced/married,none,1,real estate,35,none,own,1,unskilled-resident,1,yes,yes
1,no cheking account,10,existing credits,car-new,1287,no savings,employed >= 7 years,4,male-single,co-applicant,2,building society,45,none,own,1,unskilled-resident,1,none,no
1,account < 0 ,18,all credits paid back,radio/TV,1940,100 <= savings < 500,employed < 1 year,3,male-single,co-applicant,4,no property,36,bank,for free,1,high qualified employee,1,yes,yes
1,account >= 200,30,critical account,radio/TV,3656,no savings,employed >= 7 years,4,male-single,none,4,building society,49,stores,own,2,unskilled-resident,1,none,yes
1,no cheking account,24,delay paying in past,car-used,4679,savings >= 1000,4 <= employed < 7 years,3,male-single,none,3,car or other,35,none,own,2,unskilled-resident,1,yes,yes
1,no cheking account,27,delay paying in past,car-used,8613,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,2,car or other,27,none,own,2,skilled employee,1,none,yes
1,account < 0 ,18,existing credits,funiture,2659,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,2,car or other,28,none,own,1,skilled employee,1,none,yes
1,no cheking account,24,critical account,radio/TV,1516,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,1,real estate,43,none,own,2,unskilled-resident,1,none,yes
1,account < 0 ,18,existing credits,car-new,4380,500 <= savings < 1000,1 <= employed < 4 years,3,male-single,none,4,car or other,35,none,own,1,unskilled-resident,2,yes,yes
1,no cheking account,14,delay paying in past,car-new,802,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,2,car or other,27,none,own,2,unskilled-resident,1,none,yes
1,no cheking account,21,existing credits,business,1572,no savings,employed >= 7 years,4,female-divorced/married,none,4,real estate,36,bank,own,1,unskilled-resident,1,none,yes
1,0 <= account < 200,48,all credits paid back,business,3566,savings >= 1000,4 <= employed < 7 years,4,male-single,none,2,car or other,30,none,own,1,skilled employee,1,none,yes
1,no cheking account,24,existing credits,radio/TV,1278,no savings,employed >= 7 years,4,male-single,none,1,real estate,36,none,own,1,high qualified employee,1,yes,yes
1,no cheking account,6,no credits taken,radio/TV,426,no savings,employed >= 7 years,4,male-married,none,4,car or other,39,none,own,1,unskilled-resident,1,none,yes
1,no cheking account,39,existing credits,car-used,8588,no savings,employed >= 7 years,4,male-single,none,2,car or other,45,none,own,1,high qualified employee,1,yes,yes
1,account < 0 ,30,existing credits,car-used,3857,500 <= savings < 1000,1 <= employed < 4 years,4,male-divorced,none,4,building society,40,none,own,1,high qualified employee,1,yes,yes
0,0 <= account < 200,12,existing credits,car-new,685,savings >= 1000,4 <= employed < 7 years,2,male-married,none,3,car or other,25,bank,own,1,unskilled-resident,1,none,yes
1,account < 0 ,24,existing credits,radio/TV,1603,no savings,employed >= 7 years,4,female-divorced/married,none,4,car or other,55,none,own,1,skilled employee,1,none,yes
1,no cheking account,21,existing credits,funiture,2241,no savings,employed >= 7 years,4,male-single,none,2,real estate,50,none,own,2,skilled employee,1,none,yes
1,account < 0 ,24,existing credits,radio/TV,2384,no savings,employed >= 7 years,4,male-single,none,4,real estate,64,bank,rent,1,unskilled-resident,1,none,yes
1,no cheking account,4,existing credits,funiture,601,100 <= savings < 500,employed < 1 year,1,female-divorced/married,none,3,real estate,23,none,rent,1,unskilled-resident,2,none,yes
1,no cheking account,39,existing credits,car-used,2569,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,4,car or other,24,none,own,1,skilled employee,1,none,yes
1,no cheking account,15,critical account,radio/TV,1316,500 <= savings < 1000,1 <= employed < 4 years,2,male-married,none,2,building society,47,none,own,2,unskilled-resident,1,none,yes
1,no cheking account,60,existing credits,car-new,10366,no savings,employed >= 7 years,2,male-single,none,4,building society,42,none,own,1,high qualified employee,1,yes,yes
1,no cheking account,18,existing credits,business,1568,500 <= savings < 1000,1 <= employed < 4 years,3,female-divorced/married,none,4,building society,24,none,rent,1,unskilled-resident,1,none,yes
1,no cheking account,18,critical account,radio/TV,629,no savings,employed >= 7 years,4,male-single,none,3,building society,32,bank,own,2,high qualified employee,1,yes,yes
1,no cheking account,6,all credits paid back,radio/TV,1750,no savings,employed >= 7 years,2,male-single,none,4,building society,45,bank,own,1,unskilled-resident,2,none,yes
1,no cheking account,24,existing credits,car-used,3488,savings >= 1000,4 <= employed < 7 years,3,female-divorced/married,none,4,car or other,23,none,own,1,skilled employee,1,none,yes
1,no cheking account,18,critical account,radio/TV,1800,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,2,car or other,24,none,own,2,skilled employee,1,none,yes
1,no cheking account,24,delay paying in past,funiture,4151,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,3,building society,35,none,own,2,skilled employee,1,none,yes
1,0 <= account < 200,15,existing credits,repairs,2631,500 <= savings < 1000,1 <= employed < 4 years,3,female-divorced/married,none,2,real estate,25,none,own,1,unskilled-resident,1,none,yes
1,no cheking account,21,existing credits,car-used,5248,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,none,3,car or other,26,none,own,1,skilled employee,1,none,yes
1,0 <= account < 200,18,delay paying in past,car-new,2899,no savings,employed >= 7 years,4,male-single,none,4,car or other,43,none,own,1,skilled employee,2,none,yes
1,0 <= account < 200,18,delay paying in past,repairs,6204,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,4,real estate,44,none,own,1,unskilled-resident,2,yes,yes
1,no cheking account,12,existing credits,radio/TV,804,no savings,employed >= 7 years,4,male-single,none,4,car or other,38,none,own,1,skilled employee,1,none,yes
1,no cheking account,36,existing credits,radio/TV,3595,no savings,employed >= 7 years,4,male-single,none,2,car or other,28,none,own,1,skilled employee,1,none,yes
1,no cheking account,36,critical account,car-used,5711,no savings,employed >= 7 years,4,male-single,none,2,car or other,38,none,own,2,high qualified employee,1,yes,yes
1,account >= 200,15,existing credits,business,2687,savings >= 1000,4 <= employed < 7 years,2,male-single,none,4,building society,26,none,rent,1,skilled employee,1,yes,yes
1,account < 0 ,15,delay paying in past,funiture,3643,no savings,employed >= 7 years,1,female-divorced/married,none,4,building society,27,none,own,2,unskilled-resident,1,none,yes
1,no cheking account,10,critical account,funiture,2146,100 <= savings < 500,employed < 1 year,1,female-divorced/married,none,3,real estate,23,none,rent,2,skilled employee,1,none,yes
1,account < 0 ,10,existing credits,radio/TV,2315,no savings,employed >= 7 years,3,male-single,none,4,real estate,52,none,own,1,unskilled-resident,1,none,yes
1,no cheking account,5,existing credits,business,3448,savings >= 1000,4 <= employed < 7 years,1,male-single,none,4,real estate,74,none,own,1,unskilled-resident,1,none,yes
1,no cheking account,15,existing credits,funiture,2708,100 <= savings < 500,employed < 1 year,2,male-single,none,3,building society,27,bank,own,2,unskilled-resident,1,none,yes
1,no cheking account,11,critical account,car-new,1393,100 <= savings < 500,employed < 1 year,4,female-divorced/married,none,4,car or other,35,none,own,2,high qualified employee,1,none,yes
1,account >= 200,10,existing credits,funiture,1275,100 <= savings < 500,employed < 1 year,4,female-divorced/married,none,2,building society,23,none,own,1,skilled employee,1,none,yes
1,no cheking account,9,existing credits,funiture,1313,no savings,employed >= 7 years,1,male-single,none,4,car or other,20,none,own,1,skilled employee,1,none,yes
1,no cheking account,12,existing credits,radio/TV,1493,100 <= savings < 500,employed < 1 year,4,female-divorced/married,none,3,car or other,34,none,own,1,skilled employee,2,none,yes
1,no cheking account,22,existing credits,radio/TV,2675,no savings,employed >= 7 years,3,male-single,none,4,car or other,40,none,own,1,skilled employee,1,none,yes
1,0 <= account < 200,9,existing credits,radio/TV,2118,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,2,real estate,37,none,own,1,unskilled-resident,2,none,yes
1,no cheking account,36,existing credits,car-new,909,no savings,employed >= 7 years,4,male-single,none,4,building society,36,none,own,1,skilled employee,1,none,yes
1,no cheking account,12,critical account,funiture,1258,100 <= savings < 500,employed < 1 year,2,female-divorced/married,none,4,building society,22,none,rent,2,unskilled-resident,1,none,yes
1,no cheking account,15,all credits paid back,radio/TV,1569,no savings,employed >= 7 years,4,male-single,none,4,car or other,34,bank,own,1,unskilled-resident,2,none,yes
1,no cheking account,6,existing credits,car-used,1236,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,4,building society,50,none,rent,1,skilled employee,1,none,yes
1,no cheking account,36,delay paying in past,funiture,7678,savings >= 1000,4 <= employed < 7 years,2,female-divorced/married,none,4,car or other,40,none,own,2,skilled employee,1,yes,yes
1,no cheking account,6,existing credits,repairs,660,savings >= 1000,4 <= employed < 7 years,2,male-married,none,4,real estate,23,none,rent,1,unskilled-resident,1,none,yes
1,no cheking account,24,existing credits,funiture,2835,no savings,employed >= 7 years,3,male-single,none,4,building society,53,none,own,1,skilled employee,1,none,yes
1,no cheking account,24,existing credits,car-used,2670,no savings,employed >= 7 years,4,male-single,none,4,car or other,35,none,own,1,high qualified employee,1,yes,yes
1,no cheking account,12,all credits paid back,retraining,3447,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,none,3,real estate,35,none,own,1,unskilled-resident,2,none,yes
1,no cheking account,15,existing credits,radio/TV,3568,no savings,employed >= 7 years,4,female-divorced/married,none,2,car or other,54,bank,rent,1,high qualified employee,1,yes,yes
1,0 <= account < 200,21,critical account,business,3652,savings >= 1000,4 <= employed < 7 years,2,male-single,none,3,building society,27,none,own,2,skilled employee,1,none,yes
1,account < 0 ,24,existing credits,radio/TV,3660,500 <= savings < 1000,1 <= employed < 4 years,2,female-divorced/married,none,4,car or other,28,none,own,1,skilled employee,1,none,yes
1,account >= 200,9,existing credits,radio/TV,1126,no savings,employed >= 7 years,2,male-divorced,none,4,real estate,49,none,own,1,skilled employee,1,none,yes
1,account >= 200,6,delay paying in past,radio/TV,683,100 <= savings < 500,employed < 1 year,2,female-divorced/married,none,1,building society,29,bank,own,1,skilled employee,1,none,yes
1,account >= 200,12,existing credits,funiture,2251,500 <= savings < 1000,1 <= employed < 4 years,1,female-divorced/married,none,2,car or other,46,none,own,1,unskilled-resident,1,none,yes
1,no cheking account,12,existing credits,car-used,4675,100 <= savings < 500,employed < 1 year,1,female-divorced/married,none,4,car or other,20,none,rent,1,skilled employee,1,none,yes
1,0 <= account < 200,21,delay paying in past,car-new,2353,500 <= savings < 1000,1 <= employed < 4 years,1,male-divorced,none,4,building society,47,none,own,2,skilled employee,1,none,yes
1,account < 0 ,21,existing credits,radio/TV,3357,100 <= savings < 500,employed < 1 year,4,female-divorced/married,none,2,car or other,29,bank,own,1,skilled employee,1,none,yes
1,no cheking account,6,existing credits,car-new,672,savings < 100,unemployed,1,female-divorced/married,none,4,real estate,54,none,own,1,unemployed,1,yes,yes
1,account < 0 ,6,critical account,radio/TV,338,no savings,employed >= 7 years,4,male-single,none,4,car or other,52,none,own,2,skilled employee,1,none,yes
1,no cheking account,9,existing credits,radio/TV,2697,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,none,2,real estate,32,none,own,1,skilled employee,2,none,yes
1,no cheking account,9,existing credits,car-new,2507,no savings,employed >= 7 years,2,male-single,none,4,no property,51,none,for free,1,unskilled-resident,1,none,yes
1,no cheking account,15,delay paying in past,radio/TV,1478,500 <= savings < 1000,1 <= employed < 4 years,4,male-married,none,3,real estate,33,bank,own,2,skilled employee,1,none,yes
1,no cheking account,12,critical account,education,3565,100 <= savings < 500,employed < 1 year,2,male-single,none,1,building society,37,none,own,2,unskilled-resident,2,none,yes
1,no cheking account,15,existing credits,funiture,2221,500 <= savings < 1000,1 <= employed < 4 years,2,female-divorced/married,none,4,car or other,20,none,rent,1,skilled employee,1,none,yes
1,no cheking account,6,critical account,radio/TV,1898,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,none,2,real estate,34,none,own,2,unskilled-resident,2,none,yes
1,0 <= account < 200,6,delay paying in past,business,1449,no savings,employed >= 7 years,1,male-divorced,none,2,car or other,31,bank,own,2,skilled employee,2,none,yes
1,no cheking account,15,delay paying in past,funiture,960,savings >= 1000,4 <= employed < 7 years,3,female-divorced/married,none,2,building society,30,none,own,2,skilled employee,1,none,yes
1,no cheking account,36,existing credits,car-used,8133,500 <= savings < 1000,1 <= employed < 4 years,1,female-divorced/married,none,2,building society,30,bank,own,1,skilled employee,1,none,yes
1,no cheking account,9,existing credits,funiture,2301,100 <= savings < 500,employed < 1 year,2,female-divorced/married,none,4,building society,22,none,rent,1,skilled employee,1,none,yes
1,no cheking account,6,delay paying in past,business,1743,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,none,2,real estate,34,none,own,2,unskilled-resident,1,none,yes
1,0 <= account < 200,12,existing credits,funiture,983,100 <= savings < 500,employed < 1 year,1,female-divorced/married,none,4,real estate,19,none,rent,1,unskilled-resident,1,none,yes
1,no cheking account,18,delay paying in past,radio/TV,2320,savings < 100,unemployed,2,male-married,none,3,real estate,34,none,own,2,skilled employee,1,none,yes
1,account < 0 ,12,all credits paid back,retraining,339,no savings,employed >= 7 years,4,male-married,none,1,car or other,45,bank,own,1,unskilled-resident,1,none,yes
1,account >= 200,24,existing credits,radio/TV,5152,savings >= 1000,4 <= employed < 7 years,4,male-single,none,2,car or other,25,bank,own,1,skilled employee,1,none,yes
1,account >= 200,24,existing credits,funiture,3749,100 <= savings < 500,employed < 1 year,2,female-divorced/married,none,4,car or other,26,none,own,1,skilled employee,1,none,yes
1,no cheking account,9,critical account,radio/TV,3074,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,none,2,real estate,33,none,own,2,skilled employee,2,none,yes
0,account >= 200,9,existing credits,radio/TV,745,500 <= savings < 1000,1 <= employed < 4 years,3,female-divorced/married,none,2,real estate,28,none,own,1,unskilled-resident,1,none,yes
1,no cheking account,24,existing credits,car-new,1469,no savings,employed >= 7 years,4,male-married,none,4,real estate,41,none,rent,1,unskilled-resident,1,none,yes
1,account < 0 ,6,existing credits,funiture,1374,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,none,2,real estate,36,bank,own,1,unskilled-resident,1,yes,yes
1,no cheking account,6,all credits paid back,car-new,783,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,guarantor,2,real estate,26,stores,own,1,unskilled-resident,2,none,yes
1,account < 0 ,21,existing credits,radio/TV,2606,100 <= savings < 500,employed < 1 year,4,female-divorced/married,none,4,building society,28,none,rent,1,high qualified employee,1,yes,yes
1,no cheking account,54,no credits taken,car-used,9436,500 <= savings < 1000,1 <= employed < 4 years,2,male-single,none,2,building society,39,none,own,1,unskilled-resident,2,none,yes
1,no cheking account,12,critical account,radio/TV,930,no savings,employed >= 7 years,4,male-single,none,4,real estate,65,none,own,4,skilled employee,1,none,yes
1,no cheking account,48,critical account,car-used,2751,no savings,employed >= 7 years,4,male-single,none,3,car or other,38,none,own,2,skilled employee,2,yes,yes
1,no cheking account,6,critical account,car-new,250,500 <= savings < 1000,1 <= employed < 4 years,2,female-divorced/married,none,2,real estate,41,bank,own,2,unskilled-resident,1,none,yes
1,0 <= account < 200,24,existing credits,car-new,1201,100 <= savings < 500,employed < 1 year,4,male-single,none,1,building society,26,none,own,1,skilled employee,1,none,yes
1,account < 0 ,6,existing credits,car-new,662,100 <= savings < 500,employed < 1 year,3,male-single,none,4,real estate,41,none,own,1,unskilled-resident,2,yes,yes
1,no cheking account,15,existing credits,car-used,1300,no savings,employed >= 7 years,4,male-single,none,4,no property,45,bank,for free,1,skilled employee,2,none,yes
1,no cheking account,24,all credits paid back,business,1559,savings >= 1000,4 <= employed < 7 years,4,male-single,none,4,car or other,40,bank,own,1,skilled employee,1,yes,yes
1,account >= 200,12,existing credits,radio/TV,3016,500 <= savings < 1000,1 <= employed < 4 years,3,male-married,none,1,car or other,24,none,own,1,skilled employee,1,none,yes
1,no cheking account,15,critical account,radio/TV,1360,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,2,building society,31,none,own,2,skilled employee,1,none,yes
1,no cheking account,6,no credits taken,car-new,1204,500 <= savings < 1000,1 <= employed < 4 years,4,male-single,none,1,no property,35,bank,rent,1,skilled employee,1,none,no
1,no cheking account,10,existing credits,car-new,1597,500 <= savings < 1000,1 <= employed < 4 years,3,male-single,none,2,no property,40,none,rent,1,unskilled-resident,2,none,no
1,no cheking account,12,existing credits,radio/TV,2073,500 <= savings < 1000,1 <= employed < 4 years,4,female-divorced/married,co-applicant,2,real estate,28,none,own,1,skilled employee,1,none,yes
1,no cheking account,11,existing credits,business,2142,no savings,employed >= 7 years,1,male-divorced,none,2,real estate,28,none,own,1,skilled employee,1,yes,yes
1,account < 0 ,10,critical account,funiture,2132,100 <= savings < 500,employed < 1 year,2,female-divorced/married,co-applicant,3,real estate,27,none,rent,2,skilled employee,1,none,no
1,no cheking account,10,existing credits,car-new,1546,500 <= savings < 1000,1 <= employed < 4 years,3,male-single,none,2,real estate,31,none,own,1,unskilled-resident,2,none,no
1,no cheking account,24,critical account,car-new,1287,no savings,employed >= 7 years,4,female-divorced/married,none,4,real estate,37,none,own,2,skilled employee,1,yes,yes
1,no cheking account,10,existing credits,car-new,1418,500 <= savings < 1000,1 <= employed < 4 years,3,male-single,none,2,real estate,35,none,rent,1,unskilled-resident,1,none,no
1,account >= 200,6,critical account,car-new,1343,no savings,employed >= 7 years,1,male-single,none,4,real estate,46,none,own,2,skilled employee,2,none,no
1,no cheking account,18,existing credits,car-new,2662,savings >= 1000,4 <= employed < 7 years,4,male-single,none,3,building society,32,none,own,1,skilled employee,1,none,no
1,no cheking account,18,critical account,radio/TV,6070,no savings,employed >= 7 years,3,male-single,none,4,car or other,33,none,own,2,skilled employee,1,yes,yes
1,no cheking account,24,critical account,education,1927,500 <= savings < 1000,1 <= employed < 4 years,3,female-divorced/married,none,2,car or other,33,none,own,2,skilled employee,1,yes,yes
1,no cheking account,18,critical account,radio/TV,2404,500 <= savings < 1000,1 <= employed < 4 years,2,female-divorced/married,none,2,car or other,26,none,own,2,skilled employee,1,none,yes
1,no cheking account,6,critical account,radio/TV,1554,savings >= 1000,4 <= employed < 7 years,1,female-divorced/married,none,2,car or other,24,none,rent,2,skilled employee,1,yes,yes
1,no cheking account,22,existing credits,car-new,1283,savings >= 1000,4 <= employed < 7 years,4,female-divorced/married,none,4,building society,25,none,rent,1,skilled employee,1,none,yes
1,no cheking account,24,delay paying in past,car-new,717,no savings,employed >= 7 years,4,male-married,none,4,car or other,54,none,own,2,skilled employee,1,yes,yes
1,account < 0 ,24,existing credits,funiture,1747,100 <= savings < 500,employed < 1 year,4,male-single,co-applicant,1,building society,24,none,own,1,unskilled-resident,1,none,no
1,account < 0 ,9,critical account,repairs,1288,no savings,employed >= 7 years,3,male-single,guarantor,4,real estate,48,none,own,2,skilled employee,2,none,no
1,account < 0 ,10,critical account,car-new,1038,savings >= 1000,4 <= employed < 7 years,4,male-single,co-applicant,3,building society,49,none,own,2,skilled employee,1,yes,yes
1,no cheking account,10,existing credits,car-used,2848,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,co-applicant,2,real estate,32,none,own,1,skilled employee,2,none,yes
1,no cheking account,12,existing credits,car-used,1413,savings >= 1000,4 <= employed < 7 years,3,male-single,none,2,building society,55,none,own,1,skilled employee,1,none,no
1,no cheking account,30,critical account,radio/TV,3077,no savings,employed >= 7 years,3,male-single,none,2,car or other,40,none,own,2,skilled employee,2,yes,yes
1,account < 0 ,24,all credits paid back,car-used,3632,500 <= savings < 1000,1 <= employed < 4 years,1,female-divorced/married,guarantor,4,car or other,22,bank,rent,1,skilled employee,1,none,no
1,no cheking account,18,critical account,car-used,3229,savings < 100,unemployed,2,male-single,none,4,no property,38,none,own,1,high qualified employee,1,yes,yes
1,no cheking account,9,existing credits,car-new,3577,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,guarantor,2,real estate,26,none,rent,1,skilled employee,2,none,no
1,no cheking account,12,critical account,car-new,682,savings >= 1000,4 <= employed < 7 years,4,female-divorced/married,none,3,car or other,51,none,own,2,skilled employee,1,yes,yes
1,no cheking account,10,existing credits,radio/TV,1924,500 <= savings < 1000,1 <= employed < 4 years,1,male-single,none,4,building society,38,none,own,1,skilled employee,1,yes,no
1,no cheking account,10,existing credits,education,727,no savings,employed >= 7 years,4,male-single,none,4,no property,46,none,for free,1,skilled employee,1,yes,yes
