No,Saldo,Frek ATM,Jenis Kelamin,tempat tinggal,Frek Supermarket,Frek Dept Store,Usia
9185,6.696,7,Laki-Laki,rural,5,2,35
9186,13.816,5,Perempuan,urban,7,3,38
9187,2.962,5,Perempuan,rural,1,0,32
9188,1.439,7,Laki-Laki,urban,2,4,40
9189,0.392,5,Laki-Laki,rural,1,3,41
9190,3.882,3,Laki-Laki,rural,0,2,34
9191,5.196,2,Laki-Laki,rural,1,1,41
9192,0.730,4,Laki-Laki,urban,0,1,40
9193,6.860,3,Perempuan,rural,3,4,42
9194,6.323,1,Perempuan,rural,4,1,41
9195,0.676,4,Perempuan,urban,2,0,36
9196,32.095,9,Perempuan,rural,3,3,40
9197,6.271,4,Laki-Laki,urban,1,2,45
9198,12.933,10,Perempuan,urban,4,2,49
9199,0.705,5,Perempuan,rural,6,2,39
9200,0.292,5,Laki-Laki,urban,2,0,35
9201,18.938,9,Perempuan,urban,5,4,38
9202,4.330,2,Laki-Laki,rural,3,1,38
9203,0.939,0,Perempuan,urban,1,1,41
9204,12.912,6,Perempuan,urban,3,3,37
9205,12.722,1,Laki-Laki,rural,1,1,49
9206,11.832,5,Perempuan,rural,3,2,32
9207,0.139,3,Laki-Laki,rural,0,3,27
9208,0.327,2,Perempuan,rural,4,2,39
9209,2.279,4,Laki-Laki,rural,2,0,42
9210,21.267,24,Perempuan,rural,6,11,40
9211,1.073,3,Perempuan,rural,4,0,42
9212,0.121,4,Laki-Laki,urban,4,1,40
9213,3.704,4,Laki-Laki,rural,0,2,41
9214,3.383,4,Laki-Laki,rural,0,1,38
9215,0.973,2,Perempuan,rural,1,2,45
9216,6.859,5,Perempuan,urban,5,1,31
9217,10.844,5,Perempuan,rural,6,2,37
9218,5.083,2,Laki-Laki,rural,4,1,43
9219,5.069,4,Laki-Laki,urban,1,10,32
9220,0.882,4,Laki-Laki,rural,4,1,41
9221,16.887,17,Perempuan,rural,8,1,41
9222,6.467,7,Perempuan,rural,5,0,41
9223,3.809,5,Laki-Laki,urban,2,4,36
9224,4.816,1,Laki-Laki,rural,0,2,42
9225,3.993,1,Laki-Laki,rural,2,1,29
9226,4.463,6,Perempuan,rural,3,5,43
9227,1.371,2,Laki-Laki,urban,6,0,49
9228,1.473,2,Laki-Laki,urban,1,0,31
9229,0.888,4,Perempuan,rural,4,1,49
9230,6.539,2,Perempuan,urban,2,0,34
9231,3.592,4,Perempuan,rural,4,2,41
9232,3.227,5,Perempuan,rural,2,1,28
9233,16.206,11,Laki-Laki,urban,2,1,44
9234,3.341,2,Perempuan,urban,4,4,39
9235,8.919,3,Laki-Laki,urban,0,3,38
9236,3.507,4,Laki-Laki,urban,1,2,42
9237,5.922,5,Perempuan,urban,3,0,45
9238,6.902,1,Laki-Laki,urban,1,3,43
9239,1.984,4,Perempuan,urban,1,5,38
9240,0.259,5,Perempuan,urban,7,4,42
9241,0.699,0,Perempuan,rural,5,3,34
9242,9.628,7,Laki-Laki,rural,2,0,38
9243,5.831,4,Laki-Laki,rural,1,2,41
9244,38.570,14,Perempuan,urban,7,6,34
9245,8.629,4,Laki-Laki,rural,0,2,47
9246,2.711,1,Laki-Laki,rural,0,4,45
9247,5.904,5,Laki-Laki,rural,6,1,32
9248,1.397,1,Laki-Laki,urban,1,3,38
9249,12.051,1,Laki-Laki,rural,3,1,34
9250,19.349,12,Perempuan,urban,2,2,32
9251,0.338,6,Laki-Laki,rural,1,0,50
9252,3.137,3,Perempuan,rural,4,5,42
9253,0.789,4,Perempuan,rural,2,2,35
9254,20.007,7,Perempuan,urban,1,1,39
9255,5.659,4,Perempuan,rural,4,1,29
9256,0.660,1,Laki-Laki,rural,0,0,48
9257,5.632,4,Laki-Laki,urban,1,1,40
9258,0.483,4,Perempuan,urban,3,1,34
9259,15.823,3,Perempuan,urban,0,4,42
9260,9.137,4,Laki-Laki,rural,0,2,38
9261,0.675,3,Perempuan,rural,4,0,44
9262,8.754,4,Perempuan,rural,3,4,33
9263,18.571,16,Perempuan,urban,6,3,44
9264,3.377,5,Laki-Laki,rural,1,1,38
9265,33.610,14,Perempuan,rural,6,10,41
9266,16.500,5,Perempuan,urban,3,3,41
9267,0.691,1,Perempuan,rural,4,1,40
9268,1.973,1,Perempuan,urban,2,2,45
9269,18.615,6,Laki-Laki,urban,2,2,38
9270,4.816,1,Perempuan,rural,4,1,37
9271,0.560,4,Perempuan,rural,0,0,31
9272,4.163,3,Perempuan,urban,2,0,42
9273,29.967,6,Perempuan,urban,7,4,39
9274,3.227,2,Laki-Laki,rural,1,1,49
9275,6.412,6,Perempuan,rural,2,2,34
9276,12.623,9,Perempuan,rural,4,2,37
9277,1.567,6,Laki-Laki,rural,3,3,35
9278,13.471,11,Perempuan,urban,5,4,36
9279,2.829,6,Perempuan,urban,5,2,34
9280,14.518,11,Laki-Laki,rural,3,3,34
9281,17.981,12,Laki-Laki,rural,3,1,38
9282,3.646,2,Perempuan,urban,0,0,40
9283,3.559,3,Laki-Laki,urban,1,0,44
9284,4.352,7,Laki-Laki,urban,3,5,38
9285,0.933,1,Laki-Laki,rural,1,2,44
9286,9.135,7,Perempuan,urban,6,4,40
9287,3.330,4,Perempuan,rural,3,1,47
9288,13.569,7,Laki-Laki,urban,2,1,36
9289,0.005,2,Laki-Laki,rural,1,5,43
9290,0.779,3,Laki-Laki,rural,1,3,29
9291,1.065,3,Perempuan,urban,5,3,35
9292,0.504,4,Perempuan,rural,2,1,37
9293,29.036,8,Laki-Laki,rural,2,3,33
9294,23.004,12,Perempuan,urban,4,2,36
9295,49.536,18,Laki-Laki,urban,3,3,37
9296,1.830,0,Perempuan,urban,1,0,38
9297,5.680,4,Laki-Laki,rural,1,2,42
9298,4.175,6,Laki-Laki,rural,6,3,40
9299,11.399,5,Perempuan,rural,10,4,35
9300,3.261,6,Laki-Laki,urban,0,1,39
9301,3.332,2,Perempuan,rural,4,1,34
9302,0.618,3,Perempuan,urban,4,2,32
9303,3.243,3,Perempuan,urban,6,9,42
9304,1.246,1,Perempuan,urban,0,5,40
9305,0.831,1,Perempuan,rural,10,1,47
9306,0.605,3,Laki-Laki,urban,1,2,42
9307,3.016,4,Perempuan,rural,0,0,35
9308,15.979,6,Laki-Laki,urban,3,2,30
9309,2.563,5,Laki-Laki,urban,1,8,35
9310,1.688,5,Perempuan,urban,4,2,39
9311,4.302,4,Laki-Laki,rural,1,1,46
9312,1.123,2,Laki-Laki,rural,0,2,37
9313,2.327,7,Laki-Laki,rural,2,0,34
9314,10.253,4,Perempuan,urban,2,2,38
9315,2.082,4,Laki-Laki,urban,1,2,44
9316,21.296,6,Laki-Laki,rural,6,6,34
9317,30.861,5,Laki-Laki,rural,5,2,34
9318,4.966,2,Laki-Laki,urban,2,4,40
9319,3.513,2,Perempuan,rural,10,1,30
9320,8.971,1,Perempuan,rural,4,3,31
9321,4.752,0,Perempuan,rural,6,2,33
9322,5.021,6,Laki-Laki,rural,0,3,37
9323,0.315,5,Perempuan,urban,8,0,44
9324,0.036,2,Perempuan,rural,1,0,37
9325,0.915,1,Perempuan,urban,4,1,34
9326,7.936,1,Laki-Laki,rural,5,2,37
9327,0.189,0,Perempuan,rural,2,2,38
9328,6.273,6,Perempuan,urban,0,2,37
9329,1.295,3,Perempuan,urban,3,2,30
9330,24.962,8,Perempuan,rural,5,1,41
9331,0.373,2,Laki-Laki,urban,3,4,36
9332,0.952,3,Perempuan,rural,6,2,40
9333,0.218,4,Laki-Laki,rural,1,7,34
9334,0.476,7,Perempuan,rural,1,4,31
9335,1.425,3,Perempuan,rural,4,3,36
9336,11.265,2,Laki-Laki,rural,1,1,40
9337,1.701,3,Laki-Laki,urban,0,3,33
9338,1.635,4,Perempuan,urban,2,8,37
9339,8.576,3,Laki-Laki,rural,3,0,37
9340,0.936,5,Perempuan,urban,8,0,37
9341,8.463,6,Perempuan,urban,1,2,29
9342,7.298,6,Laki-Laki,rural,3,2,46
9343,2.806,3,Perempuan,urban,8,0,38
9344,4.735,3,Perempuan,rural,5,0,40
9345,15.979,16,Perempuan,urban,8,2,40
9346,1.262,7,Laki-Laki,urban,5,1,32
9347,0.078,5,Perempuan,rural,5,2,44
9348,5.697,2,Perempuan,urban,4,2,38
9349,3.663,2,Perempuan,rural,3,1,38
9350,5.377,6,Perempuan,urban,2,0,24
9351,3.069,6,Laki-Laki,rural,1,2,47
9352,1.670,4,Perempuan,rural,4,1,31
9353,23.710,8,Perempuan,rural,4,3,45
9354,1.357,4,Perempuan,urban,4,1,38
9355,4.840,3,Laki-Laki,rural,1,2,37
9356,0.522,3,Laki-Laki,rural,1,1,39
9357,2.021,2,Laki-Laki,urban,1,0,30
9358,10.715,2,Laki-Laki,urban,0,1,41
9359,4.080,5,Perempuan,rural,2,3,35
9360,15.085,5,Perempuan,rural,3,3,38
9361,1.173,3,Laki-Laki,urban,1,1,31
9362,4.191,3,Perempuan,rural,1,0,42
9363,43.037,13,Laki-Laki,rural,1,6,48
9364,0.509,3,Perempuan,rural,5,3,41
9365,10.280,3,Perempuan,urban,4,7,39
9366,0.924,4,Perempuan,urban,0,3,43
9367,0.819,2,Perempuan,rural,0,0,41
9368,6.002,0,Laki-Laki,rural,1,2,32
9369,5.640,9,Perempuan,rural,11,2,38
9370,5.471,4,Laki-Laki,urban,0,0,35
9371,1.336,1,Perempuan,rural,2,2,40
9372,14.831,9,Laki-Laki,urban,0,3,45
9373,22.930,13,Laki-Laki,rural,1,3,37
9374,7.020,1,Laki-Laki,rural,1,1,35
9375,0.177,4,Laki-Laki,rural,1,3,43
9376,2.714,1,Perempuan,urban,1,2,40
9377,0.940,2,Laki-Laki,urban,2,1,39
9378,8.963,9,Perempuan,rural,4,2,41
9379,3.997,6,Perempuan,rural,2,1,33
9380,3.855,5,Laki-Laki,urban,1,2,38
9381,3.433,5,Laki-Laki,rural,0,1,37
9382,0.647,3,Perempuan,rural,1,2,42
9383,1.146,2,Laki-Laki,urban,0,2,43
9384,13.672,5,Laki-Laki,rural,1,1,43
9385,1.331,1,Laki-Laki,urban,3,3,41
9386,1.119,4,Perempuan,urban,4,2,35
9387,1.457,1,Laki-Laki,rural,1,5,32
9388,7.475,5,Perempuan,urban,3,2,35
9389,10.524,8,Laki-Laki,rural,11,4,31
9390,13.268,9,Laki-Laki,urban,2,8,46
9391,2.904,3,Laki-Laki,urban,2,2,40
9392,0.975,2,Laki-Laki,urban,1,3,38
9393,16.210,7,Perempuan,rural,3,1,36
9394,0.178,1,Laki-Laki,rural,5,7,54
9395,0.310,0,Perempuan,urban,2,1,40
9396,0.410,2,Perempuan,rural,2,3,39
9397,4.222,6,Laki-Laki,rural,1,1,38
9398,7.202,9,Laki-Laki,rural,3,2,32
9399,1.045,3,Laki-Laki,rural,2,2,27
9400,11.778,6,Perempuan,urban,4,1,39
9401,1.966,3,Perempuan,urban,4,2,35
9402,0.447,1,Laki-Laki,urban,2,2,40
9403,9.067,7,Laki-Laki,urban,3,4,33
9404,1.330,0,Laki-Laki,rural,1,1,35
9405,4.364,7,Laki-Laki,rural,2,0,33
9406,2.288,6,Perempuan,rural,2,1,37
9407,0.485,2,Perempuan,urban,3,5,41
9408,2.790,4,Perempuan,urban,3,0,48
9409,0.208,1,Perempuan,rural,8,1,33
9410,1.569,1,Laki-Laki,urban,2,0,35
9411,7.791,8,Laki-Laki,rural,3,2,43
9412,21.028,7,Laki-Laki,urban,0,6,36
9413,4.814,5,Perempuan,rural,3,0,47
9414,5.785,9,Perempuan,rural,5,1,40
9415,2.322,3,Perempuan,rural,3,1,33
9416,1.443,3,Perempuan,urban,5,2,38
9417,3.010,9,Perempuan,rural,3,5,44
9418,9.485,3,Perempuan,rural,4,0,40
9419,0.999,8,Laki-Laki,rural,6,2,29
9420,4.114,3,Laki-Laki,urban,0,2,31
9421,6.606,2,Laki-Laki,rural,1,7,29
9422,3.632,2,Perempuan,urban,1,0,38
9423,14.238,11,Laki-Laki,urban,4,0,40
9424,1.448,2,Laki-Laki,urban,0,0,45
9425,1.455,2,Laki-Laki,rural,7,0,35
9426,1.425,2,Perempuan,rural,7,3,38
9427,0.396,3,Laki-Laki,rural,1,2,38
9428,13.985,8,Perempuan,rural,3,4,37
9429,19.626,8,Perempuan,rural,3,3,39
9430,11.219,4,Perempuan,rural,2,4,43
9431,1.742,0,Perempuan,urban,4,2,34
9432,1.139,2,Laki-Laki,rural,0,1,49
9433,8.575,9,Laki-Laki,rural,1,1,39
9434,7.471,5,Laki-Laki,rural,7,1,44
9435,1.641,4,Perempuan,urban,0,0,32
9436,9.339,4,Laki-Laki,urban,2,1,32
9437,2.005,1,Laki-Laki,urban,1,2,43
9438,14.333,2,Laki-Laki,urban,2,2,40
9439,1.893,3,Laki-Laki,rural,2,1,33
9440,10.968,8,Perempuan,rural,3,0,39
9441,23.126,20,Perempuan,urban,9,4,34
9442,4.104,22,Laki-Laki,rural,9,1,39
9443,16.521,4,Perempuan,rural,0,6,41
9444,9.433,7,Laki-Laki,rural,7,3,38
9445,11.637,10,Laki-Laki,urban,6,3,32
9446,1.938,2,Perempuan,rural,2,3,46
9447,5.840,2,Perempuan,rural,5,4,36
9448,9.525,5,Laki-Laki,rural,0,2,34
9449,0.660,3,Laki-Laki,urban,2,1,43
9450,16.845,4,Perempuan,rural,1,2,30
9451,1.026,6,Perempuan,rural,5,4,49
9452,6.879,6,Perempuan,urban,4,4,40
9453,31.560,11,Laki-Laki,rural,2,7,38
9454,2.599,2,Perempuan,rural,3,6,38
9455,0.435,3,Laki-Laki,rural,1,2,39
9456,2.131,4,Laki-Laki,urban,0,1,32
9457,0.451,4,Laki-Laki,rural,2,2,40
9458,16.349,8,Perempuan,rural,2,3,36
9459,11.479,4,Laki-Laki,rural,2,3,37
9460,0.428,4,Perempuan,rural,4,6,37
9461,1.465,1,Laki-Laki,rural,2,3,50
9462,3.136,4,Perempuan,urban,6,1,41
9463,2.868,3,Perempuan,rural,2,2,42
9464,0.841,0,Laki-Laki,urban,2,6,37
9465,3.770,1,Perempuan,rural,2,0,43
9466,0.500,1,Laki-Laki,rural,1,5,41
9467,4.005,0,Perempuan,urban,0,0,30
9468,10.533,6,Laki-Laki,urban,1,3,36
9469,7.338,2,Laki-Laki,urban,1,2,31
9470,19.284,14,Laki-Laki,rural,4,1,37
9471,5.004,5,Perempuan,rural,0,2,48
9472,5.098,3,Perempuan,urban,0,0,52
9473,9.097,4,Laki-Laki,urban,1,1,35
9474,8.472,3,Perempuan,rural,0,2,36
9475,0.369,1,Perempuan,urban,2,0,36
9476,1.785,2,Laki-Laki,rural,0,0,33
9477,4.755,1,Laki-Laki,rural,0,2,39
9478,3.486,6,Laki-Laki,urban,1,2,28
9479,4.393,10,Laki-Laki,rural,2,3,36
9480,1.315,5,Perempuan,urban,1,0,33
9481,3.930,9,Perempuan,rural,7,4,40
9482,2.879,5,Laki-Laki,rural,5,1,41
9483,2.597,2,Perempuan,rural,2,1,30
9484,0.074,3,Perempuan,rural,5,3,35
9485,0.057,8,Laki-Laki,rural,3,2,35
9486,5.417,3,Laki-Laki,urban,3,1,39
9487,0.726,0,Laki-Laki,rural,0,3,44
9488,8.627,7,Laki-Laki,rural,3,1,47
9489,2.128,2,Laki-Laki,rural,1,2,36
9490,4.383,5,Laki-Laki,rural,0,3,34
9491,47.747,28,Perempuan,rural,10,5,47
9492,50.820,27,Laki-Laki,urban,6,3,40
9493,0.039,3,Perempuan,rural,5,5,43
9494,24.926,8,Perempuan,rural,7,1,31
9495,4.550,8,Laki-Laki,rural,1,0,30
9496,0.004,1,Laki-Laki,rural,0,3,30
9497,28.617,9,Laki-Laki,rural,3,6,43
9498,0.580,0,Laki-Laki,rural,0,1,40
9499,2.377,4,Laki-Laki,urban,0,4,39
9500,10.451,3,Laki-Laki,rural,2,3,34
9501,0.980,0,Perempuan,rural,0,1,36
9502,1.665,1,Laki-Laki,urban,1,0,45
9503,0.607,0,Perempuan,rural,3,1,35
9504,8.313,5,Perempuan,rural,3,1,43
9505,0.650,3,Laki-Laki,rural,1,0,38
9506,13.109,4,Perempuan,urban,4,2,40
9507,0.030,4,Laki-Laki,rural,1,1,34
9508,5.545,5,Perempuan,rural,4,1,33
9509,5.487,2,Laki-Laki,rural,2,2,43
9510,0.793,1,Laki-Laki,rural,3,1,36
9511,3.406,3,Laki-Laki,rural,1,2,47
9512,1.173,2,Laki-Laki,urban,0,3,29
9513,17.042,5,Laki-Laki,rural,1,3,46
9514,1.102,5,Laki-Laki,urban,1,2,33
9515,1.727,4,Laki-Laki,urban,2,2,36
9516,2.516,7,Perempuan,rural,3,2,34
9517,3.425,2,Laki-Laki,rural,1,2,42
9518,2.368,0,Perempuan,urban,0,0,50
9519,2.846,3,Laki-Laki,urban,3,0,44
9520,1.010,4,Laki-Laki,urban,0,3,38
9521,18.047,9,Perempuan,rural,5,4,41
9522,15.392,8,Perempuan,rural,5,2,39
9523,21.419,7,Laki-Laki,urban,6,4,39
9524,1.091,0,Perempuan,rural,4,1,40
9525,2.227,5,Perempuan,urban,9,0,39
9526,0.165,7,Perempuan,urban,1,1,40
9527,0.851,6,Perempuan,rural,7,2,34
9528,14.387,7,Perempuan,rural,6,3,43
9529,0.043,3,Perempuan,urban,5,1,39
9530,1.226,6,Laki-Laki,rural,2,3,41
9531,16.959,5,Laki-Laki,urban,0,6,43
9532,13.399,12,Perempuan,rural,8,0,41
9533,7.201,4,Laki-Laki,rural,8,3,31
9534,11.089,5,Perempuan,rural,3,3,32
9535,0.966,4,Laki-Laki,rural,2,0,32
9536,0.009,2,Perempuan,rural,1,4,42
9537,0.133,2,Perempuan,rural,3,1,39
9538,20.904,10,Perempuan,urban,5,4,41
9539,1.095,4,Laki-Laki,rural,1,1,46
9540,1.066,2,Perempuan,rural,4,2,40
9541,18.013,11,Perempuan,rural,3,0,40
9542,27.310,10,Perempuan,urban,1,3,38
9543,5.993,4,Laki-Laki,urban,2,3,45
9544,3.124,6,Laki-Laki,urban,4,0,30
9545,0.858,1,Perempuan,rural,1,0,35
9546,4.741,1,Laki-Laki,urban,1,0,40
9547,1.534,1,Perempuan,urban,0,2,40
9548,4.587,6,Perempuan,rural,2,5,42
9549,11.508,12,Laki-Laki,rural,2,2,35
9550,16.142,6,Laki-Laki,rural,2,1,47
9551,1.003,2,Laki-Laki,rural,1,2,45
9552,1.992,4,Perempuan,rural,3,4,32
9553,21.092,8,Laki-Laki,rural,1,5,36
9554,24.166,17,Laki-Laki,rural,7,1,40
9555,6.742,9,Laki-Laki,urban,4,2,36
9556,1.239,5,Laki-Laki,urban,2,3,40
9557,5.199,3,Laki-Laki,rural,0,1,42
9558,1.850,3,Laki-Laki,rural,1,2,30
9559,4.689,4,Laki-Laki,rural,2,1,44
9560,15.691,12,Perempuan,urban,4,2,39
9561,13.307,5,Perempuan,urban,4,4,33
9562,17.918,12,Laki-Laki,rural,2,1,42
9563,84.087,25,Laki-Laki,rural,3,8,30
9564,22.749,9,Perempuan,urban,4,2,40
9565,8.240,10,Perempuan,rural,5,2,43
9566,9.496,5,Laki-Laki,rural,1,9,48
9567,7.895,6,Laki-Laki,urban,1,1,43
9568,0.149,2,Laki-Laki,rural,1,2,38
9569,12.755,7,Laki-Laki,urban,3,10,34
9570,1.570,2,Laki-Laki,urban,1,2,39
9571,3.583,4,Laki-Laki,rural,1,0,39
9572,8.627,3,Laki-Laki,rural,3,1,44
9573,0.765,1,Laki-Laki,rural,1,1,32
9574,2.415,1,Perempuan,urban,1,3,30
9575,2.735,7,Perempuan,rural,4,2,42
9576,9.184,4,Laki-Laki,rural,0,1,35
9577,0.446,2,Laki-Laki,urban,0,0,44
9578,5.135,4,Laki-Laki,rural,0,0,55
9579,11.062,7,Perempuan,urban,10,3,37
9580,7.038,4,Laki-Laki,urban,1,4,36
9581,9.202,6,Perempuan,urban,5,1,37
9582,2.253,2,Perempuan,urban,2,2,44
9583,2.641,5,Laki-Laki,urban,1,2,47
9584,6.128,1,Laki-Laki,urban,1,2,36
9585,3.520,5,Laki-Laki,urban,4,1,38
9586,10.164,7,Perempuan,rural,5,4,35
9587,23.793,8,Laki-Laki,rural,2,3,38
9588,16.952,6,Laki-Laki,urban,3,1,40
9589,0.009,1,Perempuan,urban,3,2,41
9590,6.025,2,Perempuan,rural,4,1,44
9591,6.484,4,Laki-Laki,urban,1,3,41
9592,13.660,3,Perempuan,rural,3,1,39
9593,0.670,2,Perempuan,rural,2,1,40
9594,5.784,4,Laki-Laki,rural,5,1,36
9595,0.445,1,Laki-Laki,rural,0,3,41
9596,6.123,4,Perempuan,rural,1,1,41
9597,5.024,6,Perempuan,rural,2,1,33
9598,0.015,5,Perempuan,urban,4,1,46
9599,0.019,3,Laki-Laki,urban,1,1,41
9600,6.233,6,Perempuan,urban,3,5,36
9601,1.225,6,Laki-Laki,urban,1,2,36
9602,24.556,9,Perempuan,urban,7,4,31
9603,2.295,2,Laki-Laki,rural,1,3,35
9604,3.871,4,Laki-Laki,urban,1,0,30
9605,3.093,1,Perempuan,rural,2,3,27
9606,63.829,17,Laki-Laki,rural,8,4,40
9607,1.183,1,Perempuan,rural,3,2,38
9608,1.395,1,Laki-Laki,rural,6,1,43
9609,0.000,4,Perempuan,urban,9,1,47
9610,1.168,1,Perempuan,rural,2,1,32
9611,4.293,1,Perempuan,urban,4,1,36
9612,8.692,6,Perempuan,rural,1,0,31
9613,31.939,13,Laki-Laki,rural,4,6,30
9614,11.262,4,Perempuan,urban,3,1,36
9615,2.775,3,Perempuan,urban,3,1,29
9616,3.144,4,Perempuan,rural,1,2,43
9617,2.038,2,Laki-Laki,urban,1,1,29
9618,1.494,2,Perempuan,urban,1,2,41
9619,51.882,10,Laki-Laki,rural,1,6,38
9620,4.699,3,Laki-Laki,rural,1,2,40
9621,8.102,1,Perempuan,urban,8,3,40
9622,2.143,4,Perempuan,rural,4,0,38
9623,2.631,1,Perempuan,urban,2,2,38
9624,5.015,5,Laki-Laki,rural,2,2,47
9625,1.463,1,Laki-Laki,rural,1,2,37
9626,63.159,22,Laki-Laki,rural,4,5,38
9627,0.257,3,Perempuan,urban,2,1,35
9628,1.883,3,Perempuan,rural,4,2,26
9629,5.373,6,Perempuan,urban,2,1,35
9630,11.694,4,Laki-Laki,rural,1,5,43
9631,7.072,5,Perempuan,rural,5,4,32
9632,11.053,5,Laki-Laki,urban,2,1,36
9633,0.341,3,Perempuan,rural,4,6,31
9634,2.890,6,Laki-Laki,rural,0,0,41
9635,7.107,5,Laki-Laki,rural,3,2,38
9636,46.999,16,Perempuan,rural,9,5,30
9637,3.070,4,Perempuan,rural,4,2,44
9638,5.040,2,Perempuan,rural,1,3,38
9639,19.187,11,Perempuan,rural,5,5,34
9640,17.039,10,Laki-Laki,rural,2,5,33
9641,4.298,10,Perempuan,rural,8,4,42
9642,2.051,6,Laki-Laki,rural,6,2,42
9643,20.321,16,Perempuan,rural,5,2,42
9644,3.433,5,Perempuan,rural,2,1,38
9645,4.303,2,Laki-Laki,urban,1,0,31
9646,0.916,1,Perempuan,urban,5,2,41
9647,2.037,3,Perempuan,rural,7,1,48
9648,6.791,2,Perempuan,rural,4,1,38
9649,11.119,9,Laki-Laki,urban,1,5,35
9650,7.252,0,Perempuan,urban,3,1,35
9651,6.934,2,Perempuan,rural,4,0,41
9652,7.855,7,Laki-Laki,rural,2,1,41
9653,5.920,2,Laki-Laki,rural,3,1,43
9654,12.304,3,Perempuan,urban,3,1,36
9655,6.068,3,Laki-Laki,urban,1,2,33
9656,0.790,4,Perempuan,urban,1,3,44
9657,14.848,10,Perempuan,urban,3,2,40
9658,4.890,1,Perempuan,urban,6,1,30
9659,12.275,10,Laki-Laki,rural,3,4,44
9660,3.351,7,Laki-Laki,urban,3,4,37
9661,6.726,11,Perempuan,urban,11,0,42
9662,10.973,8,Perempuan,urban,3,11,32
9663,4.279,5,Perempuan,rural,3,2,35
9664,2.462,3,Perempuan,urban,1,4,35
9665,0.449,1,Laki-Laki,rural,1,1,30
9666,7.139,5,Laki-Laki,urban,1,2,36
9667,1.632,1,Perempuan,urban,4,4,41
9668,16.341,7,Laki-Laki,rural,2,1,33
9669,0.283,3,Laki-Laki,rural,1,2,41
9670,6.564,2,Laki-Laki,rural,1,2,34
9671,2.051,4,Perempuan,rural,4,1,36
9672,2.316,3,Perempuan,urban,4,2,40
9673,6.236,4,Perempuan,rural,6,1,37
9674,5.756,7,Laki-Laki,urban,1,1,47
9675,1.366,3,Perempuan,rural,1,1,38
9676,30.440,16,Perempuan,urban,2,4,41
9677,1.206,5,Laki-Laki,rural,1,2,33
9678,0.218,2,Laki-Laki,urban,0,7,42
9679,0.086,3,Laki-Laki,rural,2,3,38
9680,2.476,1,Perempuan,rural,2,5,35
9681,2.439,2,Laki-Laki,urban,5,1,41
9682,1.699,3,Laki-Laki,rural,2,2,35
9683,3.913,5,Perempuan,rural,5,1,24
9684,3.887,7,Perempuan,rural,4,3,39
9685,1.413,4,Perempuan,rural,4,0,33
9686,0.175,4,Laki-Laki,rural,1,1,31
9687,32.762,24,Laki-Laki,rural,4,3,43
9688,0.061,1,Perempuan,rural,4,2,28
9689,2.501,1,Perempuan,rural,3,2,34
9690,2.373,6,Laki-Laki,rural,3,2,41
9691,0.892,2,Laki-Laki,rural,1,4,37
9692,13.600,10,Laki-Laki,rural,3,2,38
9693,2.913,5,Laki-Laki,rural,3,0,33
9694,10.114,6,Perempuan,urban,2,4,38
9695,2.587,7,Perempuan,rural,2,1,44
9696,4.435,6,Laki-Laki,rural,1,3,36
9697,3.729,5,Perempuan,urban,3,3,41
9698,6.459,4,Laki-Laki,rural,1,3,34
9699,0.184,0,Perempuan,rural,4,3,39
9700,7.413,5,Laki-Laki,rural,3,0,31
9701,4.126,5,Laki-Laki,rural,2,1,46
9702,0.204,3,Laki-Laki,rural,1,0,30
9703,21.002,16,Laki-Laki,rural,3,3,37
9704,3.391,1,Perempuan,urban,3,3,33
9705,0.034,1,Laki-Laki,rural,3,1,37
9706,1.987,4,Laki-Laki,rural,2,1,40
9707,0.637,4,Perempuan,urban,2,2,34
9708,2.026,1,Laki-Laki,rural,2,2,39
9709,1.132,2,Perempuan,urban,1,2,40
9710,8.867,4,Perempuan,rural,5,0,46
9711,1.292,5,Laki-Laki,rural,7,2,41
9712,1.741,2,Laki-Laki,rural,6,2,41
9713,5.611,5,Perempuan,rural,3,1,38
9714,17.066,7,Laki-Laki,urban,0,1,44
9715,1.380,0,Perempuan,rural,2,1,51
9716,6.659,3,Perempuan,urban,0,0,41
9717,1.502,1,Laki-Laki,rural,5,1,38
9718,4.268,1,Laki-Laki,rural,2,4,36
9719,2.680,4,Perempuan,rural,4,1,39
9720,1.561,4,Perempuan,rural,2,0,36
9721,0.180,4,Perempuan,urban,4,0,30
9722,7.742,0,Laki-Laki,rural,1,0,40
9723,1.420,1,Laki-Laki,urban,0,1,45
9724,2.973,0,Perempuan,urban,5,1,37
9725,3.873,2,Laki-Laki,rural,2,2,37
9726,2.163,4,Perempuan,rural,5,0,39
9727,7.703,2,Laki-Laki,rural,2,2,42
9728,11.612,10,Perempuan,urban,4,2,42
9729,11.547,4,Laki-Laki,urban,1,5,46
9730,9.085,9,Laki-Laki,rural,7,1,29
9731,24.880,8,Perempuan,urban,6,4,39
9732,6.329,9,Laki-Laki,rural,3,1,37
9733,0.650,3,Perempuan,rural,2,2,40
9734,17.133,5,Laki-Laki,rural,4,2,38
9735,7.753,4,Perempuan,urban,3,1,38
9736,24.268,9,Perempuan,urban,1,1,39
9737,7.449,2,Perempuan,urban,3,3,44
9738,2.043,5,Laki-Laki,rural,3,2,33
9739,5.374,5,Laki-Laki,urban,2,2,42
9740,5.469,3,Perempuan,rural,1,4,45
9741,1.342,2,Laki-Laki,urban,1,2,35
